new entry "MindFlayer_Illithid_PatronForm"
type "Character"
data "Strength" "12"
data "Dexterity" "16"
data "Constitution" "16"
data "Intelligence" "18"
data "Wisdom" "16"
data "Charisma" "16"
data "Armor" "16"
data "Vitality" "100"
data "XPReward" "484393d9-eb7b-4b3b-b69b-5fdbfa940403"
data "Sight" "1600"
data "Hearing" "1100"
data "FOV" "90"
data "Weight" "145"
data "GameSize" "Large"
data "SoundSize" "Large"
data "StepsType" "Bare"
data "Flags" "FloatingWhileMoving;SlippingImmunity"
data "DefaultBoosts" "ProficiencyBonus(SavingThrow, Intelligence);ProficiencyBonus(SavingThrow, Wisdom);ProficiencyBonus(SavingThrow, Charisma);BlockRegainHP(Undead;Construct);"
data "PersonalStatusImmunities" "PRONE_FALLEN;CRIPPLED;SG_Dominated;SG_Charmed;SG_Frightened;GAPING_WOUND;CHEST_TRAUMA;BLEEDING;SG_Sleeping;SG_Taunted;SG_Mad"
data "PathInfluence" "BloodElectrified,100;BloodFrozen,30;Lava,700;Fire,40;HolyFire,40;Hellfire,100;PoisonCloud,70;WyvernPoison,70;DrowPoisonCloud,70;PurpleWormPoison,70;SerpentVenom,70;InvisibleGithAcid,70;CloudkillCloud,70;MaliceCloud,70;CrawlerMucusCloud,70;WaterElectrified,100;WaterFrozen,30;Grease,30;Web,30;Vines,40;SporeBlackCloud,100;WaterCloudElectrified,40;SporeGreenCloud,40;Acid,30;CausticBrine,40;DarknessCloud,30;FogCloud,30;Mud,30;Oil,30;Poison,30;SpikeGrowth,40;SporePinkCloud,40;StinkingCloud,40"
data "ProficiencyBonus" "4"
data "SpellCastingAbility" "Intelligence"
data "UnarmedAttackAbility" "Strength"
data "UnarmedRangedAttackAbility" "Strength"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;Movement:12;ReactionActionPoint:2"
data "Passives" "MagicResistance;AttackOfOpportunity;DevilsSight;DarknessRules;ShortResting;ControlUndead_Immune;ImmuneToControlUndead;TurnResistance;"
data "BludgeoningResistance" "ResistantToNonMagical"
data "SlashingResistance" "ResistantToNonMagical"
data "PiercingResistance" "ResistantToNonMagical"
data "NecroticResistance" "Resistant"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Resistant"
data "RadiantResistance" "Vulnerable"
data "Initiative" "3"
data "MinimumDetectionRange" "2"
data "DarkvisionRange" "24"
data "FallingHitEffect" "VFX_Combat_Bludgeoning_Damage_Blood_01"
data "FallingLandEffect" "VFX_Combat_Force_Land_01"
data "ArmorType" "Cloth"
data "Proficiency Group" "LightArmor;MediumArmor;HeavyArmor;Shields"
data "DifficultyStatuses" "STATUS_EASY: HEALTHREDUCTION_EASYMODE; STATUS_HARD: HEALTHBOOST_HARDCORE; STATUS_HARD: MINDFLAYER_HARDCORE"

